Run ID,Event ID,QP Creation Time [ns],Patch Copy Number,Patch IX,Patch IY,Patch Center X [um],Patch Center Y [um],QPs Created
0,7818,235.42,839,2,1,400,200,2
0,11656,1900.38,839,2,1,400,200,2
0,11695,107.583,839,2,1,400,200,4
0,11761,125.264,839,2,1,400,200,12
0,11762,1139.3,839,2,1,400,200,2
0,14300,413.554,839,2,1,400,200,2
0,14366,1540.18,839,2,1,400,200,2
0,14402,439.218,839,2,1,400,200,2
0,19950,409.908,839,2,1,400,200,4
0,20044,801.452,839,2,1,400,200,2
0,20045,575.948,839,2,1,400,200,4
0,20083,708.341,839,2,1,400,200,4
0,23490,599.331,839,2,1,400,200,16
0,26763,684.975,1502,19,1,3800,200,4
0,26831,950.919,839,2,1,400,200,2
0,26869,640.404,839,2,1,400,200,4
0,1132,468.78,839,2,1,400,200,8
0,1144,307.828,839,2,1,400,200,6
0,4184,249.942,839,2,1,400,200,4
0,4251,279.448,839,2,1,400,200,2
0,7309,350.015,839,2,1,400,200,8
0,7379,272.084,839,2,1,400,200,2
0,7384,564.845,839,2,1,400,200,2
0,7457,706.308,839,2,1,400,200,2
0,10486,529.499,839,2,1,400,200,8
0,10504,575.541,839,2,1,400,200,2
0,10550,891.026,839,2,1,400,200,14
0,10618,1721.75,839,2,1,400,200,12
0,16856,285.863,839,2,1,400,200,4
0,20197,391.028,839,2,1,400,200,4
0,20234,485.784,839,2,1,400,200,4
0,26680,313.59,839,2,1,400,200,4
0,1544,125.848,839,2,1,400,200,10
0,1622,526.126,839,2,1,400,200,4
0,5199,742.613,839,2,1,400,200,2
0,5261,375.249,839,2,1,400,200,4
0,8554,1851.44,839,2,1,400,200,2
0,8608,253.593,839,2,1,400,200,2
0,12321,240.855,839,2,1,400,200,2
0,12366,298.482,839,2,1,400,200,6
0,16317,1117.83,839,2,1,400,200,8
0,16403,647.676,839,2,1,400,200,2
0,18261,723.117,839,2,1,400,200,4
0,18312,460.97,839,2,1,400,200,2
0,18355,296.806,839,2,1,400,200,4
0,18389,567.646,839,2,1,400,200,12
0,21055,290.605,839,2,1,400,200,2
0,24320,450.592,839,2,1,400,200,4
0,24396,92.5639,839,2,1,400,200,4
0,27233,624.253,839,2,1,400,200,10
0,27281,241.161,839,2,1,400,200,2
